,Universités/Instituts Supérieurs,Catégories,Adresses,Départments,Villes,Names,Latitudes,Longitudes,Locations
38,Université Chrétienne Renaissance du Centre dHaïti (UCRECH),Privé,"60, Fort Anglais, Mirbalais",Centre,Mirbalais,Centre dEtudes Diplomatiques et Internationales (CEDI),18.5379796,-72.3127956,"(18.5379796, -72.3127956)"
39,Université Moderne dHaïti (UMDH),Privé,"#25, 1ère Avenue du Travail",Ouest,Port-au-prince,Centre de Management et de Productivité (CMP),18.551251399999998,-72.2871484162865,"(18.551251399999998, -72.2871484162865)"
40,Université Nissage Saget (UNISSA),Privé,"39,Route de flerenceau.Saint-Marc,Artibonite,Haiti",Artibonite,Saint-Marc,Centre dInformatique de Statistique et dAdministration (CISA),18.5345464,-72.310274,"(18.5345464, -72.310274)"
41,Université La Ferrière Joseph,Privé,"18,Rue 15 Q, Cap-Haitien, Haiti",Nord,Cap-Haitin,Centre Universitaire Polytechnique dHaïti (CUPH),18.5828815,-72.2414284,"(18.5828815, -72.2414284)"
42,Université la Renaissance dHaïti (URH),Privé,"170, Ave Jean Paul II, Turgeau, Port-au- Prince",Ouest,Port-au-prince,Académie des Sciences Pures et Appliquées (ASPA),48.2266894,16.4377378,"(48.2266894, 16.4377378)"
43,Faculté Craan dHaïti (FCA),Privé,"20, Rue Duncombe, Bois-Verna",Ouest,Port-au-prince,Azure University (AU),18.5502702,-72.3044554371802,"(18.5502702, -72.3044554371802)"
44,Faculté des Sciences de lEducation Regina Assumpta (FERA),Privé, rue 20 A,Nord,Cap-Haitien,Grand Séminaire Notre Dame (GSND),18.532040000000002,-72.33375720000001,"(18.532040000000002, -72.33375720000001)"
45, Institut de Formation des Cadres (IFC),Privé,"7-9, Avenue N, Port-au-Prince",Ouest,Port-au-Prince,Séminaire de Théologie Évangélique de Port-au-Prince (STEP),18.5279067,-72.3400623,"(18.5279067, -72.3400623)"
46,"Institut des Sciences, des Technologies et des Etudes Avancées dHaïti (ISTEAH)",Privé,"10 rue Mercier-Laham, Delmas 60",Ouest,Delmas,Université Publique du Nord-Ouest à Port-de-Paix (UPNOPP),19.9408827,-72.829136,"(19.9408827, -72.829136)"
47, Institut de Formation des Cadres (IFC),Privé,"68, BLVD Jean Jacques Dessalines, Mirebalais",Centre,Mirebalais,Université Publique du Centre à Hinche et à Mirebalais (UPCHM),18.8344163,-72.104836,"(18.8344163, -72.104836)"
48,Institut de Formation Juridique et des Sciences Connexes des Cayes (INFOJUSC),Privé,Cayes,Sud,Port-au-Prince, Université Publique du Nord-Est (UPNE),19.6635608,-71.8367046,"(19.6635608, -71.8367046)"
49,Institut des Hautes Etudes Commerciales et Economiques (IHECE),Privé,"275, Ave John Brown(Lalue), Port-au-Prince",Ouest,Port-au-Prince,Université Publique du Bas Artibonite à Saint-Marc,44.9014478,3.1911751,"(44.9014478, 3.1911751)"
50,"Institut de Management Territorial, dEtudes et de Recherche Politiques (IMTERP)",Privé,"Avenue Lamartiniere, Port-au-Prince",Ouest,Port-au-Prince,Centre de Techniques de Planification et dEconomie Appliquée (CTPEA),18.537089,-72.3497648,"(18.537089, -72.3497648)"
51,Institut Haïtien des Sciences Administratives (IHSA),Privé,"Rue 6, Port-au-Prince",Ouest,Port-au-Prince,Ecole Nationale Supérieure de Technologie (ENST),18.5388339,-72.3295656,"(18.5388339, -72.3295656)"
52,Institut Haïtien de Formation en Sciences de lEducation (IHFOSED),Privé,"#22 Destour Laborde, Les Gonaïves",Artibonite,Gonaïves,Ecole Nationale des Arts (ENARTS),18.5515481,-72.3379346,"(18.5515481, -72.3379346)"
53,Institut Supérieur dAdministration et de Gestion (ISAG),Privé,"170, Ave. Jean-Paul II, Turgeau",Ouest,Port-au-Prince,Faculté de Droit et des Sciences Economiques (FDSE),18.5384108,-72.3392416,"(18.5384108, -72.3392416)"
54,Institut Supérieur de Recherche et de Développement Technologique (ISRDT),Privé,"23, bis Ave. Martin Luther King Nazon, Port-au-Prince",Ouest,Port-au-Prince,Faculté Linguistique Appliquée (FLA),18.5404909,-72.3298486,"(18.5404909, -72.3298486)"
55,Institut Supérieur des Sciences Economiques Politiques et Juridiques (ISSEPJ),Privé,"180, Lalue, Port-au-Prince",Ouest,Port-au-Prince,Faculté dOdontologie (FO),18.5384108,-72.3392416,"(18.5384108, -72.3392416)"
56,Institut Supérieur Technique dHaïti (ISTH),Privé,"24, rue Chili, Port-au-Prince",Ouest,Port-au-Prince,Faculté de Médecine et de Pharmacie (FMP),18.5384108,-72.3392416,"(18.5384108, -72.3392416)"
57,Institut Supérieur et Universitaire Professionnalisé (ISUP-EMATECH),Privé,Port-Margot,Nord,Port-Margot,Institut National dAdministration de Gestion et des Hautes Etudes Internationales (INAGHEI),18.5407356,-72.3327464,"(18.5407356, -72.3327464)"
58,Institut Universitaire des Sciences de lEducation (IUSE/CREFI),Privé,"30, rue Capois, Port-au-prince",Ouest,Port-au-prince,Ecole de Droit et des Sciences Economiques des Cayes,18.2071475,-73.7585384,"(18.2071475, -73.7585384)"
